Product Code/SKU,Cost Price,Selling Price
171645,6502.5,7977.875
171630,5270.0,6560.5
173621,10200.0,12230.0
170847,6885.0,8417.75
169642,7267.5,8857.625
169675,5355.0,6658.25
171638,5355.0,6658.25
170714,5525.0,6853.75
169674,7310.0,8906.5
169660,10710.0,12816.5
169643,8415.0,10177.25
155357,9265.0,11154.75
148976,7480.0,9102.0
169668,7650.0,9297.5
171644,5355.0,6658.25
170845,5185.0,6462.75
170720,4080.0,5192.0
169633,7650.0,9297.5
173622,7225.0,8808.75
167403,10710.0,12816.5
171889,5100.0,6365.0
169663,8415.0,10177.25
169632,8075.0,9786.25
153391,6800.0,8320.0
170716,4675.0,5876.25
153424,7310.0,8906.5
161252,5355.0,6658.25
170843,8075.0,9786.25
167191,5950.0,7342.5
171098,12750.0,15162.5
166584,6885.0,8417.75
169656,7650.0,9297.5
170722,4080.0,5192.0
169662,8032.5,9737.375
170846,5015.0,6267.25
167165,8840.0,10666.0
161243,6800.0,8320.0
169657,8032.5,9737.375
171655,3400.0,4410.0
170842,6120.0,7538.0
166590,9945.0,11936.75
171648,3400.0,4410.0
170844,6885.0,8417.75
166592,7735.0,9395.25
169637,10710.0,12816.5
146566,8032.5,9737.375
153397,6120.0,7538.0
161233,7650.0,9297.5
171656,3400.0,4410.0
170709,8160.0,9884.0
170708,8160.0,9884.0
167117,7735.0,9395.25
166587,8032.5,9737.375
161249,8330.0,10079.5
161215,8330.0,10079.5
170724,4590.0,5778.5
152079,5355.0,6658.25
155329,8500.0,10275.0
169648,7650.0,9297.5
169703,6885.0,8417.75
161248,6885.0,8417.75
155223,5355.0,6658.25
171659,4080.0,5192.0
171654,3400.0,4410.0
169667,7650.0,9297.5
169678,8415.0,10177.25
166589,6205.0,7635.75
155334,10540.0,12621.0
167402,10710.0,12816.5
155220,11645.0,13891.75
169655,8075.0,9786.25
155360,7480.0,9102.0
162870,7820.0,9493.0
154763,6885.0,8417.75
155230,5355.0,6658.25
154754,6545.0,8026.75
161763,6120.0,7538.0
165393,6800.0,8320.0
171652,4080.0,5192.0
154751,6885.0,8417.75
161235,8032.5,9737.375
154766,6545.0,8026.75
171636,8797.5,10617.125
166583,6842.5,8368.875
171653,4080.0,5192.0
155444,8500.0,10275.0
171657,4080.0,5192.0
167190,4335.0,5485.25
153408,8500.0,10275.0
169679,8075.0,9786.25
169702,7650.0,9297.5
157681,7140.0,8711.0
156006,7480.0,9102.0
161720,6545.0,8026.75
155222,7140.0,8711.0
169641,8840.0,10666.0
169664,9945.0,11936.75
171651,4080.0,5192.0
161221,7140.0,8711.0
171658,4080.0,5192.0
169697,9945.0,11936.75
155450,7480.0,9102.0
